company,Name ,Date,Review,Resolution against customer complaint,Source
vogo,Ramineni Anil kumar,16-Mar-20,First point please add an option to check the fuel even before booking the bike.....and I feel Bounce Bike as little edge over you and I feel Bounce Bike is better since. I can pick it up anywhere and leave it anywhere but VOGO as point to point pickup and drop which is a bit problem at some location becoz the other I had to walk for around 750 meters to get the bike......other than that you are good,"Hey Ramineni, As of now, we are a station to station service, although we are constantly improving our product and the user experience associated with our app. We can't commit to anything at the moment we will certainly take this up as feedback. Best, Team VOGO.",Google Play Store
vogo,dinkar vesane,13-Mar-20,"Worst experience with Vogo. It was a first ride, after scanning the bike the bike dint get unlocked and later it was not getting unlocked. App was not coming out and was not able to communicate with bike. After one day i got the bill of 830 rupees and 343 were deducted from ola money. Without using the service I've been charged. There is no option of 0 🌟 or els I could have give that. If owners of Vogo are seeing this. Then contact me.. Your customer support are not picking phone","Hey Dinkar, We are extremely sorry to disappoint you. We will need to look at this at priority. Could you please share your booking details at help@vogo.in, so that we can verify and make your experience satisfactory. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
vogo,mohit tejwani,16-Mar-20,Before it was. Very good. But now last 15 day after completing ride payment gateway problem interacting . Because of this I have to pay same bill 4 to 5 times every time than also still bill pending it showing .but Yes my all transactions credit to my account in 2 days but still soo much disturbing,"Hey Mohit, Really sorry to hear that. We will need to look into this on priority. Could you please drop a mail to us at help@vogo.in, so that we can get to the bottom of this at the earliest. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
vogo,Priyaranjan Pati,8-Mar-20,"Doesn't work at all. I got the VOGO bike today and rented for 15 days. First of all, it took another station after booking. Secondly, called customer care who is double worthless and said team is not working now. Somehow went to other station got bike to home and when starting now app keeps loading. Stupid and very bad service. For sure, would be my last deal with VOGUS. I wish I can offer a negative star. Now I understood, why company started from One. Poor service!","Hi Priyaranjan, We are extremely sorry for the inconvenience. We will need to look into this on priority. Could you please share your Booking id. over the email at help@vogo.in, so that we can verify and help you with the same at the earliest. Best, Team VOGO.",Google Play Store
vogo,henry dafaq,11-Mar-20,I went to all of your stations nearly to my place there were almost like 20-30bikes parked on those stations and I scanned every single on them but not even a single one is available and when I asked the person available over there he told me that daily rentals are closed you can book for weekly or monthly rentals what a waste of service since last 2-3 weeks this is happening they won't allow you to rent bikes on daily rentals even though if bikes are available and there cs support is waste,"Hi Henry! We always ensure that the bikes are in a well-maintained condition and with fuel, and we are sorry if you did not find the same. We are keen to know more about it, in order to have it fixed, please send us an email at help@vogo.in. Kindly consider another chance for VOGO to serve you better. Regards, Team VOGO.",Google Play Store
vogo,jagadeesh jagadeesh,19-Mar-20,"The worst app, it shows 3+ bikes available at zone but no bike is available, person at the bike zone is putting those bikes as under maintenance. I'm going for last 4 days at mrng 5 afternoon 12 and evng 9 but no bikes are available at zone they are saying these bikes are for monthly rental not for daily, then why the hell app should show the availability, why can't you mainten two divisions like monthly and daily rental ?? This happening all over Hyderabad","Hey Jagadeesh, Apologies for the inconvenience caused. We understand your concern. We ensure you that we are working at adding more vehicles and helmets, which may take some time. We request you to please share the location details at help@vogo.in. Kindly consider another chance for VOGO to serve you better. Best, Team VOGO.",Google Play Store
vogo,Jefin Mathew,13-Mar-20,"If scooter is available and unable to connect to scooter through application, then the booking got active and cancelling the ride through app won't working. Everytime have to call customer care and wait for long time to get the booking cancelled.","Hey Jefin, Sorry for the inconvenience caused. We assure you to resolve this and make your experience satisfactory. We urge you to mail us your booking details at help@vogo.in, we will have it sorted. Looking forward to serving you better. Best, Team VOGO.",Google Play Store
vogo,nikhilreddy panuganti,9-Mar-20,Its showing a station in a walkable distance with vehicles active . But none of the vehicles are working when i tried to scan . Before it was good for service . But now its irritating that i couldnt get any service from many stations .,"Hey Nikhilreddy, Sorry to hear about the unpleasant experience. We are really keen to know what went wrong with your experience so that we can fix whatever went wrong. Could you please drop in an email to help@vogo.in with your details, so that we can investigate further. We'll be grateful for your feedback. Best, Team VOGO.",Google Play Store
vogo,prudhvi raj,18-Mar-20,It was very worst experience using this app. The rides are not ending and the customer support for the same is very regretting.Even I dropped a mail a week before I didn't get any response... If i didn't get proper solution am going to file a complaint against vigorously. Note :Am not going pay singe rupee...,"Hi Prudhvi, We are sorry for the trouble caused to you. If you have dropped an email to us, the team will surely get in touch with you and assist you on the same. We are here to help you. Best, Team VOGO.",Google Play Store
vogo,Susmita Saha,14-Mar-20,"vogo stations are not maintained properly.Firstly no mechanic ever in the station. fuel is blinking, no horn, brakes not working & yet that vehicle is reffered in the app. in office time, we dnt find anyone to help us at vogo station. So many vehicles are present in station but all are unavailable, blinking. vogo people are not able to maintain station properly. In places like btm stages 2, Bangalore we need more stations or atleast maintain the current ones & increase the number of good bikes.","Hi Susmita! We always ensure that the bikes are in a well-maintained condition and with fuel, and we are sorry if you did not find the same. We are keen to know more about it, in order to have it fixed, please send us an email at help@vogo.in. Kindly consider another chance for VOGO to serve you better. Regards, Team VOGO.",Google Play Store
